DREN,Statut,Genre,Effectif
KORHOGO,Communautaire,Garçons,0
MAN,Communautaire,Garçons,0
ODIENNE,Communautaire,Garçons,71
SAN‐PEDRO,Communautaire,Garçons,970
YAMOUSSOUKRO,Communautaire,Garçons,105
AGBOVILLE,Communautaire,Garçons,0
DIVO,Communautaire,Garçons,0
KATIOLA,Communautaire,Garçons,0
GAGNOA,Communautaire,Garçons,0
BOUNDIALI,Communautaire,Garçons,0
GUIGLO,Communautaire,Garçons,0
SEGUELA,Communautaire,Garçons,0
DIMBOKRO,Communautaire,Garçons,122
ABIDJAN‐2,Communautaire,Garçons,0
ABOISSO,Communautaire,Garçons,274
DABOU,Communautaire,Garçons,0
BOUAFLE,Communautaire,Garçons,0
ADZOPE,Communautaire,Garçons,0
